,House Name,Price $
0,Clean & quiet apt home by the park,149
1,Skylit Midtown Castle,225
2,THE VILLAGE OF HARLEM....NEW YORK !,150
3,Cozy Entire Floor of Brownstone,89
4,Entire Apt: Spacious Studio/Loft by central park,80
5,Large Cozy 1 BR Apartment In Midtown East,200
6,BlissArtsSpace!,60
7,Large Furnished Room Near B'way ,79
8,Cozy Clean Guest Room - Family Apt,79
9,Cute & Cozy Lower East Side 1 bdrm,150
10,Beautiful 1br on Upper West Side,135
11,Central Manhattan/near Broadway,85
12,"Lovely Room 1, Garden, Best Area, Legal rental",89
13,Wonderful Guest Bedroom in Manhattan for SINGLES,85
14,West Village Nest - Superhost,120
15,Only 2 stops to Manhattan studio,140
16,Perfect for Your Parents + Garden,215
17,Chelsea Perfect,140
18,Hip Historic Brownstone Apartment with Backyard,99
19,Huge 2 BR Upper East  Cental Park,190
20,Sweet and Spacious Brooklyn Loft,299
21,CBG CtyBGd HelpsHaiti rm#1:1-4,130
22,CBG Helps Haiti Room#2.5,80
23,CBG Helps Haiti Rm #2,110
24,"MAISON DES SIRENES1,bohemian apartment",120
25,Sunny Bedroom Across Prospect Park,60
26,Magnifique Suite au N de Manhattan - vue Cloitres,80
27,Midtown Pied-a-terre,150
28,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",44
29,Modern 1 BR / NYC / EAST VILLAGE,180
30,front room/double bed,50
31,Spacious 1 bedroom in luxe building,52
32,Loft in Williamsburg Area w/ Roof,55
33,back room/bunk beds,50
34,Large B&B Style rooms,70
35,"Lovely room 2 & garden; Best area, Legal rental",89
36,Clean and Quiet in Brooklyn,35
37,Cute apt in artist's home,85
38,Country space in the city,150
39,LowerEastSide apt share shortterm 1,40
40,ENJOY Downtown NYC!,68
41,Beautiful Sunny Park Slope Brooklyn,120
42,1bdr w private bath. in lofty apt,120
43,West Side Retreat,135
44,BEST BET IN HARLEM,150
45,Entire apartment in central Brooklyn neighborhood.,150
46,"1 Stop fr. Manhattan! Private Suite,Landmark Block",130
47,Charming Brownstone 3 - Near PRATT,110
48,bright and stylish duplex,115
49,Fort Greene brownstone ,80
50,Blue Room for 2 in Brownstone for $1350 monthly,80
51,Cozy 1BD on Central Park West in New York City,151
52,* ORIGINAL BROOKLYN LOFT *,228
53,Greenpoint Place...Has It All! ,144
54,Beautiful Apartment in Manhattan!!!,200
55,Williamsburg 1 bedroom Apartment,150
56,"Great Location, Manhattan Bedroom!",110
57,Best Location in NYC! TIMES SQUARE!,69
58,Room in Greenpoint Loft w/ Roof,49
59,**Bright Nolita Apt w Doorman/Elevators/Gym**,180
60,"Very, very cozy place",80
61,Sunny & Spacious Chelsea Apartment,375
62,2 bedroom - Upper East Side-great for kids,250
63,Comfortable 4-bedroom apt in family house.,200
64,Double Room w Private Deck Clinton Hill Best Area,55
65,Your Heaven in Hells Kitchen,52
66,Light-filled 2B duplex in the heart of Park Slope!,225
67,"Sunny, Modern room in East Village!",80
68,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,275
69,Large Room in Amazing East Village Apt,99
70,SpaHa Loft: Enormous and Bright,225
71,Lovely EV Artist's Home,230
72,Cool Room in Hell's Kitchen,51
73,"HARLEM, NEW YORK WELCOMES YOU!!",65
74,BLUE TRIM GUEST HOUSE,105
75,Charming East Village One Bedroom Flat,190
76,Manhattan Room,200
77,Little King of Queens,70
78,Fort Greene Retreat on the Park,95
79,Beautiful Meatpacking District Loft,150
80,Cozy 2 BR in Williamsburg ,145
81,Spacious luminous apt Upper West NYC,110
82,Entire 2 Bedroom - Large & Sunny,285
83,"Sunny, Spacious Top Floor Haven",130
84,Private room Great Deal at Lower East Side,94
85,perfect for a family or small group,800
86,2 bedroom Williamsburg Apt - Bedford L stop,105
87,Oh glorious spring!,60
88,Great Location for NYC,50
89,Cozy Bedroom in Williamsburg 3 BR,85
90,Sunny room+Pvte office in huge loft,65
91,Spacious Prospect Heights Apartment,131
92,"Large Parlor Room, Landmark Home 1 block to PRATT",98
93,2-bed brownstone duplex + garden,250
94,Charming 1 bed GR8 WBurg LOCATION!,100
95,Sunny Apartment in Artist Home,105
96,Light-filled classic Central Park ,140
97,"Upper Manhattan, New York",89
98,COZY QUIET room 4 DOOGLERS!,98
99,The Stuydio Modern and Light Filled,125
100,loft bed - near transportation-15min to times sq,60
101,House On Henry (3rd FLR Suite),175
102,Monkey Retreat Manhattan,65
103,2000 SF 3br 2bath West Village private  townhouse,500
104,"Williamsburg—Steps To Subway, Private Bath&Balcony",101
105,Beautiful Duplex Apartment,220
106,Large 2 Bedroom Great for Groups!,125
107,"Modern Brooklyn Apt., August sublet",80
108,"1,800 sq foot in luxury building",100
109,Sunny 2-story Brooklyn townhouse w deck and garden,200
110,"Times Square, Safe, Clean and Cozy!",59
111,"Cozy Room #3, Landmark Home 1 Block to PRATT",125
112,Beautiful Apartment East Village,140
113,Park Slope Green Guest House,120
114,2 BR / 2 Bath Duplex Apt with patio! East Village,350
115,NYC fabulous views Manhattan's eye,199
116,2 story family home in Williamsburg,325
117,Comfortable UWS 2-BD Family-Friendly Brownstone,235
118,Great Large 1 BR apt  in East Village!,225
119,Eveland Private Bed & Living Room w/ Own Entrance,99
